,source_id,date,category,title,author,text
24,,"
Published 6:00 PM, February 20, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 20, 2020",Rappler.com,"
PREPARED. Makati conducts temperature checks amid the novel coronavirus outbreak. Photo from Makati ICRD  
MANILA, Philippines – The Philippines is ramping up its probe of people with symptoms of respiratory illness, in order to prevent the spread of the novel coronavirus.
As of Thursday, February 20, the Department of Health (DOH) said it has probed 556 patients. There is still no recorded case of local transmission in the country.
Out of this number:

133 - admitted in hospitals
420 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the name of the disease caused by the new virus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of persons under investigation per region. All numbers are from the DOH's nCov tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
10


Cagayan Valley 
35


Cordillera Administrative Region
26


Central Luzon
60


Metro Manila
199


Calabarzon
50


Mimaropa
15


Bicol
6


Western Visayas
38


Central Visayas
55


Eastern Visayas
16


Northern Mindanao
17


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 45 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates and 44 who were aboard a cruise ship quarantined in Japan. One of those on the cruise ship has recovered.
The World Health Organization has already declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 2,118 and infected over 74,000 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
25,,"
Published 7:05 PM, February 19, 2020                                    ",nCov,Filipina in Hong Kong tests positive for novel coronavirus,JC Gotinga,"
HEALTH WORKERS. Medical workers in Hong Kong are dealing with more than 60 cases of the novel coronavirus. Photo by Anthony Wallace/AFP 
MANILA, Philippines – A Filipina worker in Hong Kong has tested positive for the novel coronavirus, the Philippine government confirmed on Wednesday, February 19.
This is the first case of a Filipino contracting the virus in Hong Kong.
The patient is hospitalized and in isolation as she undergoes further tests and observation, the Department of Foreign Affairs (DFA) said, adding that she is asymptomatic.
The Department of Health also confirmed the case earlier on Wednesday.
Hong Kong media reported that the 32-year-old domestic worker became the Chinese special administrative region's 61st confirmed case of infection.
She had been taking care of her employer, a 67-year-old woman who tested positive for COVID-19, the disease caused by the virus, on February 13.
The Philippine Consulate General in Hong Kong ""will render all necessary assistance as needed,"" the DFA said.
Elsewhere in the world, one Filipino was earlier confirmed to have caught the virus in the United Arab Emirates, and 41 others who are crew members of the cruise ship Diamond Princess in Japan. One of them was confirmed to have recovered on Wednesday.
As of Wednesday, the COVID-19 global death toll has reached 2,000, with all but 5 in China. There are more than 74,000 confirmed cases in China alone, and hundreds more reported in over two dozen countries.
In the Philippines, there have been 3 confirmed cases – one death and two recoveries of Chinese tourists. A total of 539 possible cases have been placed under investigation. – Rappler.com "
26,,"
Published 6:00 PM, February 19, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 19, 2020",Rappler.com,"
PRECAUTION. A sign of 'No mask, No Entry' is put into the entrance of San Lazaro Hospital in Manila. Photo by Inoue Jaena/Rappler 
MANILA, Philippines – The Philippines is ramping up its probe of people with symptoms of respiratory illness, in order to prevent the spread of the novel coronavirus.
As of Wednesday, February 19, the Department of Health (DOH) said it has probed 539 patients. There is still no recorded case of local transmission in the country.
Out of this number:

135 - admitted in hospitals
401 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of COVID-19, the name of the disease caused by new virus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of the persons under investigation per region. All numbers are from the DOH's nCov tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
8


Cagayan Valley 
34


Cordillera Administrative Region
25


Central Luzon
60


Metro Manila
188


Calabarzon
50


Mimaropa
15


Bicol
6


Western Visayas
37


Central Visayas
55


Eastern Visayas
16


Northern Mindanao
16


Caraga
3


Davao Region
23


Soccsksargen
3


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 42 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates and 41 who were aboard a cruise ship quarantined in Japan. One of those on the cruise ship has recovered.
The World Health Organization declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 2,000 and infected over 74,000 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
27,,"
Published 5:16 PM, February 19, 2020                                    ",nCov,First Filipino case of novel coronavirus recovers – DFA,JC Gotinga,"
QUARANTINE OVER. The cruise ship Diamond Princess docked in Yokohama, Japan. Photo by Charly Triballeu/AFP 
MANILA, Philippines – The first Filipino reported to have contracted the novel coronavirus has recovered from the infection, the Department of Foreign Affairs (DFA) said on Wednesday, February 19.
He is a crew member of the cruise ship Diamond Princess, which had been quarantined at the port of Yokohama, Japan, for 14 days as the virus infected more than 500 passengers and crew while onboard.
“The Department of Foreign Affairs, together with the Philippine Embassy in Tokyo, is pleased to announce that the first Filipino crew member who tested positive for COVID-19 and was admitted to the hospital on February 5 has been successfully treated and is scheduled to be discharged today, February 19,” the DFA said in a statement.
“COVID-19” is the term for the disease caused by the novel coronavirus.
Forty other Filipino crew members of the Diamond Princess cruise ship are being treated for the novel coronavirus in hospitals in and near the Tokyo Metropolitan Area. Six of them were diagnosed earlier on Wednesday.
The 14-day quarantine imposed on the ship's passengers ended on Wednesday, and authorities facilitated the disembarkation of some 500 passengers who tested negative for the virus.
There were a total of 538 Filipinos onboard the ship, including those who had tested positive for the virus.
The Philippine Embassy in Japan is working with Japanese authorities and the management of Princess Cruises “to finalize the details, logistics, and schedule of the repatriation” of the ship’s Filipino crew members and passengers. They will be flown home “at the soonest possible time,” the DFA said.
The DFA earlier on Wednesday ordered the “immediate repatriation” of Filipinos who were on the Diamond Princess.
As of Wednesday, the COVID-19 global death toll has reached 2,000 – 5 of the deaths outside China. There were more than 74,000 confirmed cases in China alone, and hundreds more reported in two dozen countries.
In the Philippines, there have been 3 confirmed cases – one death and two recoveries of Chinese tourists. A total of 527 possible cases are currently under investigation. – Rappler.com "
28,,"
Published 1:08 PM, February 19, 2020                                    ",nCov,DFA orders immediate repatriation of Filipinos on cruise ship in Japan,Michelle Abad,"
COUPLE. Passengers look out from their balconies on the Diamond Princess cruise ship, with around 3,600 people quarantined onboard due to fears of the new COVID-19 coronavirus, at the Daikoku Pier Cruise Terminal in Yokohama on February 14, 2020. Photo by Charly Triballeau/AFP 
MANILA, Philippines – Foreign Secretary Teodoro Locsin Jr has ordered the immediate repatriation of Filipinos on the Diamond Princess cruise ship in Yokohama, Japan.
Locsin announced this in a tweet on Wednesday, February 19, hours after ship passengers who tested negative for COVID-19 – the name of the disease caused by the novel coronavirus (2019-nCoV) – following a 14-day quarantine were allowed to disembark.
""I have ordered our Tokyo Embassy to immediately repatriate our people in the Diamond Princess cruise ship in Yokohoma, Japan,"" Locsin said.
""It’s our duty to take care our overseas Filipinos wherever they are. I want them home now!"" he added.

@DFAPHL I have ordered our Tokyo Embassy to immediately repatriate our people in the Diamond Princess cruise ship in Yokohoma Japan. It’s our duty to take care our Overseas Filipinos wherever they are. I want them home now!
— Teddy Locsin Jr. (@teddyboylocsin) February 19, 2020

As of Wednesday, 41 Filipino crew members of the ship tested positive for COVID-19. Like others on the ship confirmed to be infected with the virus, they were brought to hospitals in Japan for treatment. Including the 41 crew members, there were a total of 538 Filipinos on the ship.
Assistant Secretary Rosario Vergeire said in a news briefing on Wednesday that the Department of Health (DOH) was making all the necessary preparations for the returning Filipinos.
Vergeire said that the DOH was checking hospitals and facilities where the repatriates would be quarantined, in coordination with local governments, but did not specify them.
The Filipinos earlier repatriated from Wuhan in Hubei, China, were brought to New Clark City in Tarlac. The government had also earlier cited the unused drug rehabilitation facility in Fort Magsaysay, Nueva Ecija, as a quarantine site.
'Proper repatriation process'
Vergeire said that Philippine officials have been coordinating with the Japanese government and the cruise ship management since last week to ensure that everything would be in place once the repatriation of the Filipinos begin.
Apparently in response to some views that it was taking the Philippine government some time to repatriate the Filipinos on the ship, Vergeire noted that many things had to be arranged because it involved a large group of over 500 people.
""So ever since last week, our government has already been coordinating with the government of Japan, and also our ministry of foreign affairs nakikipag-usap na po doon. We sat down with the Diamond Princess handler here already to negotiate our terms para makuha na natin kung paano talaga natin gagawin itong pagrerepatriate. So I think hindi naman sa natagalan; ipinoproseso lang nang maayos,"" she explained.
(Ever since last week, our government has been coordinating with the government of Japan, and also our ministry of foreign affairs is also talking with their counterparts. We sat down with the Diamond Princess handler here already to negotiate our terms so we can determine how to carry out the repatriation. So I think it's not that the process was slow; we're just doing this properly.)
Additional quarantine period
Vergeire said that a 14-day quarantine would be strictly enforced on all repatriated Filipinos. When the decision was made to repatriate the Filipinos on the ship, one of the conditions was to conduct an additional quarantine period even though they were already quarantined on the ship, she added. 
“The 14-day period will somehow give us assurance,” the health official said.
The DOH also reported that its supplemental budget request was granted, and that most of the fund would be spent on personal protective equipment for healthcare workers. Vergeire did not disclose the amount, but said the DOH would release the breakdown of this budget in the coming days.
As for the possible procurement of Favilavir, the first anti-novel coronavirus drug approved by China’s regulatory body, Vergeire said it would first have to be endorsed by the World Health Organization and the Philippines' Food and Drug Administration before it can be used locally.
As  of Wednesday, the COVID-19 death toll reached 2,000 – 5 of the deaths outside China. There were more than 74,000 confirmed cases in China alone, and hundreds more reported in two dozen countries.
In the Philippines, there have been 3 confirmed cases – one death and two recoveries. A total of 527 possible cases are currently under investigation. – Rappler.com "
29,,"
Published 7:30 PM, February 18, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 18, 2020",Rappler.com,"
HEALTH PRECAUTIONS. Metro Manila commuters wear face masks as protection from the novel coronavirus. File photo by Jire Carreon/Rappler 
MANILA, Philippines – The Philippines is ramping up its probe of people with symptoms of respiratory illness, in order to prevent the spread of the novel coronavirus.
As of Tuesday, February 18, the Department of Health (DOH) said it has probed 527 patients. There is still no recorded local transmission in the country.
Out of this number:

137 - admitted in hospitals
387 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of novel coronavirus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of the persons under investigation per region. All numbers are from the DOH's nCov tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
8


Cagayan Valley 
34


Cordillera Administrative Region
24


Central Luzon
59


Metro Manila
183


Calabarzon
48


Mimaropa
13


Bicol
6


Western Visayas
37


Central Visayas
55


Eastern Visayas
16


Northern Mindanao
16


Caraga
3


Davao Region
23


Soccsksargen
2


Bangsamoro Autonomous Region in Muslim Mindanao
1



There are at least 36 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates and 35 who were aboard a cruise ship quarantined in Japan.
The World Health Organization declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 1,800 and infected over 72,300 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
30,,"
Published 5:50 PM, February 18, 2020                                    ",nCov,"'Safe' to join public gatherings amid COVID-19 threat, says PH gov't",Mara Cepeda,"
FACE MASKS VS COVID-19. People wearing face masks look for books during the opening  of the 'Big Bad Wolf' book sale in Pasay City on February 13, 2020. File photo by Inoue Jaena/Rappler  
 
MANILA, Philippines – Three Cabinet officials, including Health Secretary Francisco Duque III, on Tuesday, February 18, assured the public that it is “safe” to organize and attend public gatherings for as long as people follow the prescribed precautionary measures to protect themselves from the novel coronavirus (2019-nCoV).
Duque, Interior Secretary Eduardo Año, and Tourism Secretary Bernadette Romulo-Puyat issued the joint statement which is a modification of the Department of Health (DOH) advisory on February 7, “strongly” urging the public to avoid public gatherings to stem the spread of COVID-19, the disease caused by 2019-nCoV.
“The Department of Health (DOH), Department of the Interior and Local Government (DILG), and the Department of Tourism (DOT) would like to assure everyone that it is safe to organize and attend public gatherings, meetings, and festivals as long as all precautionary measures identifed by the DOH are observed,” they said in the statement.
The DOH chairs the  Inter-Agency Task Force (IATF) for the Management of Emerging Infectious Diseases Meeting, while the DILG and the DOT are among its members.
LOOK: DOH, DILG, and DOT issue joint statement saying it is safe to organize and attend public gatherings amid 2019-nCoV threat, as long as the precautionary measures identified by the DOH are observed. @rapplerdotcom pic.twitter.com/sYTxcCbqwK— Mara Cepeda (@maracepeda) February 18, 2020
 
The DOH reminded the public to wash hands regularly and seek medical attention for signs of cough, colds, sore throat, and fever, which are symptoms of COVID-19. 
“All preventive and precautionary measures have been put in place by the national government to contain the spread of the COVID-19,” said Duque, Año, and Puyat.
The Cabinet officials also said the guidelines in “handling guests” in tourism enterprises in the country are being implemented even before the government imposed a now-partially lifted temporary travel ban to and from Hong Kong, Macau, and China, the epicenter of COVID-19 which has so far killed 1,863 people and infected more than 72,300 people there. 
“The safety of the public, especially our tourists and employees in the tourism sector, remains the priority of the Philippine government,” the officials said.
The officials gave the assurance as the government moved to boost domestic tourism especially this summer season, after the COVID-19 outbreak slowed down the influx of foreign visitors, especially those from China.
Puyat had earlier told lawmakers that the Philippines stands to lose P42.9 billion in tourism revenues for the peak months of February to April due to the COVID-19 threat.
President Rodrigo Duterte himself had expressed willingness to be a domestic travel ambassador of sorts, to encourage Filipinos to patronize local tourist spots.
The DOT wants Duterte himself to travel to popular beach destinations like Boracay, Cebu, and Bohol – places frequented by Chinese tourists – to offset the death of foreign tourists. 
As of Tuesday, the DOH has yet to report any case of local transmission of COVID-19, although the Philippines has recorded 3 confirmed cases of the new disease. One of them died, but the other two recovered and had been discharged from the hospital. 
There are currently 49 Filipinos under quarantine in New Clark City in Tarlac, a majority of whom were repatriated from Hubei, China.
In Japan, 35 out of the 538 Filipinos onboard the cruise ship Diamond Princess tested positive for 2019-nCoV. – Rappler.com "
31,,"
Published 5:04 PM, February 18, 2020                                    ",nCov,8 more Filipino crew of Japanese cruise ship catch novel coronavirus,JC Gotinga,"
QUARANTINED. The Diamond Princess cruise ship quarantined in Yokohama, Japan. Photo by Kazuhiro Nogi/AFP 
MANILA, Philippines – Eight more Filipinos working on the Japanese cruise ship Diamond Princess have contracted the novel coronavirus, bringing the total number of infected Filipino crew members to 35, the Department of Foreign Affairs (DFA) said on Tuesday, February 18.
On Sunday, February 16, 27 Filipinos were reported as positive for COVID-19, the term for the disease caused by the novel coronavirus.
“The Filipinos who tested positive for COVID-19 were immediately transferred to Japanese hospitals and are now undergoing treatment. The (Philippine Embassy in Japan) constantly communicates with all patients currently confined in Japanese hospitals to ensure their well-being and to provide assistance,” the DFA said in a statement.
The Japanese government is set to announce on Tuesday the disembarkation procedures as the ship’s quarantine period ends.
“The Embassy is coordinating with all relevant Philippine and Japanese government agencies and is meeting with senior management representatives of Princess Cruises to ensure an orderly and safe repatriation of Filipinos once they clear the Japanese quarantine requirements,” the DFA said.
All Filipino passengers and crew of the Diamond Princess who wish to be repatriated will be accommodated by the government, the Department of Health (DOH) said on Tuesday.
“The DOH will follow strict infection control and quarantine procedures to ensure the safety of our repatriates and health workers who will man the quarantine facility,” the Inter-Agency Task Force on Emerging Infectious Diseases said in a statement.
There were a total of 538 Filipinos onboard the Diamond Princess. One of them became the first Filipino case of COVID-19. The ship has been on quarantine at the port of Yokahama since February 5.
On Monday, the DFA said the government sent “care packages” containing toiletries and other supplies to the Filipinos on the cruise ship.
As of Monday evening, Philippine health officials had monitored a total of 521 patients for the novel coronavirus. Only 171 of them remained at hospitals.
The country has had 3 confirmed cases of infection, all of whom were Chinese tourists. There have not been any new confirmed cases of COVID-19 in the Philippines since February 5.
In China, more than 1,800 people have died of COVID-19. The virus has sickened more than 72,300. – Rappler.com "
32,,"
Published 3:57 PM, February 18, 2020                                    ",nCov,"Stranded OFWs may return to Hong Kong, Macau as gov't partially lifts travel ban",JC Gotinga,"
STRANDED. Filipino travelers waiting to board their flights at the Ninoy Aquino International Airport in Pasay City. File photo by Angie de Silva/Rappler 
MANILA, Philippines – Filipinos stranded in the Philippines because of the novel coronavirus outbreak are now allowed to return to their jobs in Hong Kong and Macau, the Department of Foreign Affairs (DFA) and the Deparetment of Health (DOH) said on Tuesday, February 18.
The Philippine government’s Inter-Agency Task Force on Emerging Infectious Diseases (IATF-EID) has exempted overseas Filipino workers (OFW) from the two special administrative regions of China from an outbound travel ban meant to prevent the spread of COVID-19, the disease caused by the novel coronavirus, which originated from Wuhan City in Hubei province, China.
DFA Undersecretary for Civilian Security and Consular Concerns Brigido “Dodo” Dulay first made the announcement in a tweet on Tuesday afternoon.
""The Task Force also agreed to authorize travel to Hong Kong and Macau for permanent residents of the respective Special Administrative Regions, Filipinos leaving abroad for study, and Overseas Filipino Workers, provided that the travellers sign a declaration signifying their knowledge and understanding of the risks involved,"" the IATF-EID stated in its resolution released by the DOH also on Tuesday.
Some 25,000 OFWs and Filipino residents of Hong Kong had been urging the government to exempt them from the travel ban that has been in force since February 2, after health officials confirmed the first two cases of the virus in the Philippines, and following the death of one of the COVID-19 patients.
Today, DFA Sec Locsin’s advocacy has come true. OFWs returning for work in Hongkong and Macau have been exempted from the outbound travel ban by the IATF-EID, subject to certain procedural formalities. Woohoo!! @teddyboylocsin— Dodo Dulay (@dododulay) February 18, 2020
Several of the stranded OFWs organized themselves into a group called #StrandedPH and launched a social media campaign hoping to spark action on their plight. Members of the group have been interviewed by different news outlets including Rappler, explaining that their prolonged absence could cost them their jobs.
Aware that the ban was meant to protect them from catching COVID-19, the stranded OFWs said they were willing to sign a waiver absolving the Philippine government of any liability should they fall ill upon their return to Hong Kong.
Besides the risk of losing their income sources, some of the stranded Filipinos had invested a lot of money, even accumulated debts, for the opportunity to work in Hong Kong. In the case of Hong Kong residents, some have had to pay for accommodations during their unexpected prolonged stay in the Philippines.
Upon hearing of their exemption from the ban, #StrandedPH group administrator Edward Borja thanked the government agencies and media outlets for the publicity that “paved the way to help the government agencies make a final decision towards lifting the ban.”
“Me, my family, my co-admins and my fellow OFWs are overwhelmed with happiness with this decision by our government. Now we are all just waiting for airlines to reopen flights so we can book right away,” Borja said in a statement.
As of Monday evening, Philippine health officials had monitored a total of 521 patients for the novel coronavirus. Only 171 remained at hospitals. The country has had 3 confirmed cases of infection. There have not been any new confirmed cases since February 5.
In Japan, 35 Filipino crew members of the cruise ship Diamond Princess have contracted the virus. They are undergoing treatment at Japanese hospitals, the DFA said on Tuesday.
In China, more than 1,800 people have died of COVID-19, and sickened more than 72,300. – Rappler.com "
33,,"
Published 10:28 PM, February 17, 2020                                    ",nCov,"To ‘cushion’ effects of virus outbreak, DOT wants Duterte to visit tourist spots",Mara Cepeda,"
TRAVELING SOON? President Rodrigo Duterte takes a tour around the facilities of the Sangley Airport in Cavite City during its inauguration on February 15, 2020. File photo by Albert Alcain/Presidential Photo  
MANILA, Philippines – Anticipating billions of pesos in revenue losses in the tourism industry, due to the novel coronavirus (2019-nCoV) scare, the Department of Tourism (DOT) is recommeding that President Rodrigo Duterte visits popular island destinations to help boost the domestic tourism industry.
DOT Undersecretary Arturo Boncato Jr said on Monday, February 17, they had so far chosen Boracay, Cebu, and Bohol as the initial destinations to be visited by Duterte, who had invited Filipinos to travel with him around the country amid the 2019-nCoV threat.  
“So, [we are doing this] just to arrest and to cushion whatever impact this crisis may bring to the tourism industry. As we see it, it’s still early and, as we all know, we are uncertain as to how long this would go on. And we’d like to have those measures as early as possible addressed,” said Boncato in a press briefing in Malacañang.
The DOT official said they wanted Duterte to begin his tour around the country by end of February or early March to “showcase the sites and attractions” that are popular among tourists. 
“So maaari pong ipapakita natin dito iyong mga pinakasikat na beaches, for example, ano, at saka iyong mga activities na nagbibigay ng mga unique experiences sa mga turista. At malamang ipapakita din natin iyong local communities ’no,” Boncato said. 
(So we can possibly showcase the most famous beaches, for example, and the activities that would give unique experiences to tourists. Of course, we would also feature the local communities.) 
It remains unclear, however, if Duterte himself already agreed to the itinerary. The President is also notorious for skipping pre-scheduled public engagements often due to health-related issues. (READ: LIST: Duterte's skipped events, long absences) 
Tourism Secretary Bernadette Romulo Puyat already told lawmakers the Philippines stands to lose P42.9 billion in tourism revenues for the peak months of February to April due to the COVID-19 threat.  
Boncato also said the DOT also estimates that the country would have a foregone revenue worth P14.8 billion alone following the ongoing travel ban covering China, Hong Kong, and Macau. 
As of Monday, the Department of Health has yet to report any case of local transmission of COVID-19, although the Philippines has recorded 3 confirmed cases of the new disease. One of them died due to other complications, but the other two recovered and have since been discharged from the hospital. (READ: DOH stays 'vigilant' even with admitted PUIs for coronavirus down to 171)
There are currently 49 Filipinos under quarantine in New Clark City, a majority of whom were working in Hubei, China, the epicenter of the COVID-19 outbreak where at least 1,765 people have been killed and 70,400 infected. 
In Japan, a total of 27 out of the 538 Filipinos onboard the cruise ship Diamond Princess also tested positive for 2019-nCoV and have so far received care packages from the Philippine government. Passengers and crew remain quarantined. – Rappler.com  "
34,,"
Published 6:00 PM, February 17, 2020                                    ",nCov,"PH coronavirus watch: Suspected cases per region, as of February 17, 2020",Rappler.com,"
PREPARED. The Senate installs a thermal scanner after lawmakers enforced sticter visitation policy amid the novel coronavirus outbreak. Photo by KD Madrilejos/Rappler 
MANILA, Philippines – The Philippines is now ramping up its probe of people with symptoms to prevent the spread of the 2019 novel coronavirus.
As of Monday, February 17, DOH said it probed 521 patients. There is still no recorded local transmission in the country.
Out of this number:

171 - admitted in hospitals
347 - discharged from hospitals
3 - confirmed cases

Of the 3 confirmed cases in the Philippines, one died due to severe pneumonia because of novel coronavirus, while the other two have since recovered and are already out of the hospital.
Below is the latest breakdown of the PUI cases per region. All numbers are from DOH's nCov tracker.



REGION
NUMBER OF PEOPLE PROBED


Ilocos Region
8


Cagayan Valley 
33


Cordillera Administrative Region
24


Central Luzon
59


Metro Manila
179


Calabarzon
48


Mimaropa
12


Bicol Region
6


Western Visayas
37


Central Visayas
55


Eastern Visayas
16


Northern Mindanao
17


Caraga
2


Davao Region
23


Soccsksargen
2


BARMM
1



There are at least 28 Filipinos confirmed to have the virus, but all are based outside the Philippines, including one in the United Arab Emirates and 27 who were aboard a cruise ship quarantined in Japan.
The World Health Organization declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 1,660 and infected over 68,000 people in China. Cases have been recorded in more than two dozen countries. – Rappler.com "
35,,"
Published 5:36 PM, February 17, 2020                                    ",nCov,Police sue Cebu optometrist over Facebook post claiming patient died of coronavirus,Ryan Macasero,"
CORONAVIRUS SCARE. File photo of Filipinos wearing masks amid the novel coronavirus crisis. File photo by Ben Nabong/Rappler  
   CEBU CITY, Philippines – The Philippine National Police (PNP) filed charges against an optometrist here in Cebu for allegedly posting on Facebook unverified information related to the novel coronavirus.
According to a statement from the PNP, Josephil Brian Consuelo, an optometrist, erroneously posted on Facebook that a patient under observation had died at the University of Cebu Medical Center.   
No patients under observation in Cebu have died, according to the latest update from the Department of Health. Based on latest figures from the DOH, there are a total of 55 patients under investigation for the virus in the Central Visayas. 
 According to the PNP, Consuelo was arrested last Thursday, February 13.   The Central Visayas' anti-cybercrime unit checked the post and filed charges after finding out the information was false.   Consuelo's post could not be found as of this posting.   
Police Colonel Marlo Castillo, head of the Central Visayas' anti-cybercrime unit, said that the defendant would face the charges.
Castillo said they were in coordination with Cebu province to monitor any information about the virus that could cause unnecessary panic.
""We would like the public to know that spreading fake news and misinformation has equivalent legal consequences,"" Castillo said.
PNP chief General Archie Francisco Gamboa said the police would continue to act against the spread of misinformation amid the ongoing novel coronavirus crisis. 
""Again, we urge the public to refrain posting unverified information that creates panic and confusion and we will file criminal charges to those proven spreading these false reports,"" Gamboa said.   
Consuelo's arrest comes a week after the Cebu Provincial Board passed a resolution against spreading ""fake news"" related to the novel coronavirus. 
The National Bureau of Investigation said they would also go after those who ""peddle coronavirus fake news.""
Currently, at least 28 Filipinos have the novel coronavirus, but are all based outside the country. This includes one in the United Arab Emirates, and 27 aboard a cruise ship quarantined in Japan.
The World Health Organization already declared the outbreak an international emergency, warning that the novel coronavirus poses a ""very grave threat.""
So far, the virus has killed more than 1,700 and infected over 70,000 people in China. – Rappler.com "
36,,"
Published 5:05 PM, February 17, 2020                                    ",nCov,49 quarantined Filipinos in New Clark City show no symptoms so far,Mara Cepeda,"
REPATRIATION. Over two dozen Filipinos who worked in Hubei, China, return to the Philippines on February 9, 2020. File photo from Department of Foreign Affairs 
MANILA, Philippines – The 49 Filipinos currently quarantined in New Clark City due to the novel coronavirus (2019-nCoV) scare have not shown any signs of respiratory illness as of Monday, February 17.
""All 49 repatriates at the New Clark City quarantine facility show no signs or symptoms of respiratory illness. Repatriates are monitored twice a day to ensure that they are well taken care of,"" Health Assistant Secretary Maria Rosario Vergeire said in a press conference.
The Athletes' Village in New Clark City, Tarlac, serves as a quarantine facility for Filipinos who were repatriated from the province of Hubei in China, where 2019-nCoV has killed at least 1,765 and infected 70,400 people.
Of the 49 repatriates, 30 are overseas Filipino workers who were based in Hubei. The rest include government personnel who were part of the repatriation team, 6 flight crew members, and 3 ground crew operators. (READ: DOLE to assist OFWs repatriated due to novel coronavirus crisis)
""The health and well-being of our repatriates is of utmost importance to President Rodrigo Roa Duterte and our department. We are providing our kababayans (countrymen) with appropriate health services and daily physical and psychosocial activities to keep them comfortable during the 14-day quarantine process,"" Vergeire said.
As of 12 pm on Monday, the Department of Health has probed 521 patients in the Philippines for possible 2019-nCoV infection. Of this number, 171 patients are still admitted in various health facilities nationwide, while 350 have already been discharged.
The Philippines has so far recorded 3 confirmed cases of COVID-19, the disease caused by 2019-nCoV. One of them died, but the other two recovered and have since been discharged from the hospital.
In Japan, a total of 27 out of the 538 Filipinos onboard the cruise ship Diamond Princess tested positive for 2019-nCoV. Passengers and crew remain quarantined.
The Philippine government has so far given them care packages containing toiletries and non-medical supplies. – Rappler.com "
37,,"
Published 2:45 PM, February 17, 2020                                    ",nCov,DOH stays 'vigilant' even with admitted PUIs for coronavirus down to 171,Mara Cepeda,"
CORONAVIRUS UPDATES. Health Assistant Secretary Maria Rosario Vergeire gives updates on the status of the novel coronavirus in the Philippines on February 17, 2020. Photo by Mara Cepeda/Rappler 
MANILA, Philippines – The Department of Health (DOH) will ""not be complacent"" even if the number of persons under investigation (PUIs) for the novel coronavirus (2019-nCoV) still admitted in health facilities nationwide is down to 171. 
As of 12 pm on Monday, February 17, Health Assistant Secretary Maria Rosario Vergeire told reporters there are now a total of 521 PUIs in the Philippines, but only 171 remain admitted while the 350 others have already been discharged.
""The decrease in our admitted PUIs reflects the department's strengthened surveillance, assessment, and management interventions for the COVID-19 health event. Although we see a decreasing trend, the department will not be complacent and will be more vigilant as we brace for the possibility of local transmission in our country,"" Vergeire said.
COVID-19 is the disease caused by the novel coronavirus. (READ: Premature to say coronavirus crisis 'stabilizing' – Duque)
Of the 521 PUIs, a total of 453 have already tested negative for 2019-nCoV, while 22 patients still have pending test results. The rest have yet to submit their specimens to the DOH for testing.
Vergeire then reminded the public to always wash their hands and observe proper cough etiquette to prevent the spread of COVID-19 in the Philippines, which has so far recorded 3 confirmed cases of the new disease.
Of the 3 confirmed cases, one died due to severe pneumonia because of novel coronavirus, while the other two recovered and are already out of the hospital.
In Japan, a total of 27 out of the 538 Filipinos onboard the cruise ship Diamond Princess tested positive for 2019-nCoV. Passengers and crew remain quarantined.
The Philippine government has so far given them care packages containing toiletries and non-medical supplies.
As of Monday, the novel coronavirus has killed at least 1,765 and infected 70,400 people in China, whose province Hubei is the epicenter of the new disease. Cases have been recorded in more than two dozen countries. – Rappler.com  "
